H2+C2HNO,CHN+CH2O,H2O+C2HN,iter
62.1,37.9,0,1
66.9,32.4,0.7,2
64.5,34.9,0.6,3
63.1,36.2,0.7,4
64.6,34.8,0.5,5
64.1,34.5,1.2,6
61.7,36.8,1.4,7
62.1,36.5,1.2,8
60.9,37.1,1.6,9
60.4,38.7,0.8,10
62.7,35.5,1.8,11
65.3,33.4,1,12
62.3,35.9,1.7,13
59.6,39.1,1.2,14
62.1,36.3,1.2,15
61.5,36.9,1.5,16
59.7,37.8,2.4,17
61.3,35.7,3,18
60.5,37.1,2,19
61.4,36.3,2.3,20
61.6,36.2,2.1,21
60.3,36.3,3.2,22
61.1,36.5,2.4,23
61.9,36.3,1.7,24
59.4,38,2.3,25
59.7,37.5,2.6,26
60.2,38.1,1.6,27
60,38.7,1.2,28
60.8,36.7,2.3,29
61.7,35.7,2.4,30
