Pt,energy,rxn
 1,   -108.80,   -17.100
 2,   -108.80,   -17.092
 3,   -108.76,   -16.964
 4,   -108.72,   -16.835
 5,   -108.68,   -16.706
 6,   -108.63,   -16.577
 7,   -108.58,   -16.448
 8,   -108.53,   -16.319
 9,   -108.47,   -16.190
10,   -108.41,   -16.062
11,   -108.32,   -15.941
12,   -108.10,   -15.814
13,   -107.65,   -15.685
14,   -106.98,   -15.556
15,   -106.09,   -15.427
16,   -105.01,   -15.298
17,   -103.77,   -15.169
18,   -102.38,   -15.040
19,   -100.88,   -14.911
20,    -99.27,   -14.782
21,    -97.58,   -14.653
22,    -95.81,   -14.524
23,    -94.00,   -14.394
24,    -92.13,   -14.265
25,    -90.23,   -14.136
26,    -88.29,   -14.007
27,    -86.33,   -13.878
28,    -84.35,   -13.749
29,    -82.34,   -13.620
30,    -80.31,   -13.491
31,    -78.26,   -13.362
32,    -76.18,   -13.233
33,    -74.06,   -13.104
34,    -71.89,   -12.975
35,    -69.67,   -12.846
36,    -67.36,   -12.717
37,    -64.96,   -12.588
38,    -62.45,   -12.459
39,    -59.80,   -12.330
40,    -57.00,   -12.201
41,    -54.02,   -12.072
42,    -50.88,   -11.943
43,    -47.57,   -11.814
44,    -44.10,   -11.685
45,    -40.50,   -11.556
46,    -36.79,   -11.427
47,    -33.00,   -11.298
48,    -29.20,   -11.169
49,    -25.49,   -11.040
50,    -22.06,   -10.911
51,    -19.11,   -10.782
52,    -16.78,   -10.653
53,    -15.08,   -10.524
54,    -13.85,   -10.396
55,    -12.94,   -10.267
56,    -12.19,   -10.138
57,    -11.56,   -10.009
58,    -11.00,    -9.881
59,    -10.50,    -9.752
60,    -10.06,    -9.624
61,     -9.67,    -9.496
62,     -9.34,    -9.367
63,     -9.04,    -9.238
64,     -8.77,    -9.110
65,     -8.53,    -8.982
66,     -8.31,    -8.854
67,     -8.11,    -8.726
68,     -7.92,    -8.597
69,     -7.73,    -8.469
70,     -7.56,    -8.340
71,     -7.40,    -8.211
72,     -7.25,    -8.082
73,     -7.10,    -7.953
74,     -6.96,    -7.824
75,     -6.82,    -7.695
76,     -6.69,    -7.566
77,     -6.58,    -7.440
78,     -6.46,    -7.312
79,     -6.35,    -7.183
80,     -6.24,    -7.056
81,     -6.15,    -6.930
82,     -6.06,    -6.807
83,     -5.97,    -6.679
84,     -5.89,    -6.552
85,     -5.82,    -6.425
86,     -5.76,    -6.298
87,     -5.69,    -6.171
88,     -5.64,    -6.045
89,     -5.60,    -5.921
90,     -5.55,    -5.793
91,     -5.52,    -5.664
92,     -5.48,    -5.535
93,     -5.46,    -5.406
94,     -5.44,    -5.277
95,     -5.42,    -5.148
96,     -5.41,    -5.020
97,     -5.40,    -4.895
98,     -5.39,    -4.774
99,     -5.39,    -4.645
100,     -5.37,    -4.516
101,     -5.36,    -4.388
102,     -5.34,    -4.258
103,     -5.31,    -4.129
104,     -5.28,    -4.000
105,     -5.24,    -3.871
106,     -5.20,    -3.742
107,     -5.15,    -3.613
108,     -5.09,    -3.484
109,     -5.02,    -3.355
110,     -4.94,    -3.226
111,     -4.86,    -3.097
112,     -4.76,    -2.968
113,     -4.66,    -2.839
114,     -4.54,    -2.710
115,     -4.40,    -2.581
116,     -4.26,    -2.452
117,     -4.09,    -2.323
118,     -3.91,    -2.194
119,     -3.71,    -2.065
120,     -3.49,    -1.936
121,     -3.26,    -1.807
122,     -3.01,    -1.678
123,     -2.74,    -1.549
124,     -2.46,    -1.420
125,     -2.17,    -1.291
126,     -1.87,    -1.161
127,     -1.57,    -1.032
128,     -1.28,    -0.903
129,     -0.99,    -0.774
130,     -0.73,    -0.645
131,     -0.49,    -0.516
132,     -0.29,    -0.387
133,     -0.14,    -0.258
134,     -0.04,    -0.129
135,     +0.00,    +0.000
136,     -0.16,     0.258
137,     -0.69,     0.516
138,     -1.65,     0.774
139,     -3.09,     1.032
140,     -5.04,     1.290
141,     -7.53,     1.549
142,    -10.58,     1.807
143,    -14.19,     2.065
144,    -18.36,     2.323
145,    -23.07,     2.581
146,    -28.26,     2.839
147,    -33.88,     3.097
148,    -39.81,     3.355
149,    -45.98,     3.613
150,    -52.26,     3.871
151,    -58.55,     4.129
152,    -64.77,     4.387
153,    -70.85,     4.645
154,    -76.70,     4.904
155,    -82.26,     5.162
156,    -87.46,     5.420
157,    -92.26,     5.678
158,    -96.62,     5.936
159,   -100.52,     6.194
160,   -103.96,     6.452
161,   -106.92,     6.710
162,   -109.42,     6.968
163,   -111.50,     7.226
164,   -113.21,     7.483
165,   -114.60,     7.741
166,   -115.77,     7.999
167,   -116.75,     8.256
168,   -117.60,     8.514
169,   -118.33,     8.772
170,   -118.96,     9.030
171,   -119.50,     9.288
172,   -119.94,     9.544
173,   -120.30,     9.801
174,   -120.57,    10.058
