ene,k
50,0.
55,0.
60,0.
66,0.
67.5054,2248.
67.534,2238.
67.5625,2229.
67.5911,2219.
67.6197,2210.
67.6483,2201.
67.6769,2192.
67.7055,2183.
67.7341,2173.
67.7627,2164.
67.7913,2155.
67.8199,2146.
67.8485,2137.
67.8771,2128.
67.9056,2119.
67.9342,2110.
67.9628,2102.
67.9914,2093.
68.02,2084.
68.0486,2075.
68.0772,4134.
68.1058,4116.
68.1344,4099.
68.163,4082.
68.1916,4065.
68.2202,4048.
68.2487,6046.
68.2773,6021.
68.3059,5996.
68.3345,5971.
68.3631,5947.
68.3917,5922.
68.4203,5897.
68.4489,7829.
68.4775,7798.
68.5061,7765.
68.5347,7732.
68.5633,7701.
68.5919,7669.
68.6204,7637.
68.649,9506.
68.6776,9468.
68.7062,9427.
68.7348,9389.
68.7634,9350.
68.792,11173.
68.8206,11126.
68.8492,11081.
68.8778,11035.
68.9064,10989.
68.935,10943.
68.9635,12716.
68.9921,12661.
69.0207,14411.
69.0493,14352.
69.0779,14293.
69.1065,14233.
69.1351,14175.
69.1637,14117.
69.1923,17572.
69.2209,19250.
69.2495,19171.
69.2781,19092.
69.3066,19012.
69.3352,18936.
69.3638,20571.
69.3924,22194.
69.421,22102.
69.4496,22012.
69.4782,21920.
69.5068,21830.
69.5354,23414.
69.564,23318.
69.5926,24879.
69.6212,24778.
69.6497,24676.
69.6783,24574.
69.7069,26105.
69.7355,27624.
69.7641,30746.
69.7927,30619.
69.8213,30495.
69.8499,30369.
69.8785,30246.
69.9071,31706.
69.9357,34737.
69.9643,36164.
69.9929,36017.
70.0214,35871.
70.05,35725.
70.0786,35577.
70.1072,36973.
70.1358,39891.
70.1644,41255.
70.193,41087.
70.2216,40922.
70.2502,42263.
70.2788,42089.
70.3074,43415.
70.336,49203.
70.3645,49000.
70.3931,48801.
70.4217,50078.
70.4503,49870.
70.4789,51129.
70.5075,53831.
70.5361,55064.
70.5647,54834.
70.5933,54616.
70.6219,55825.
70.6505,58448.
70.6791,61049.
70.7076,63635.
70.7362,63374.
70.7648,63115.
70.7934,62862.
70.822,63999.
70.8506,65122.
70.8792,68999.
70.9078,75595.
70.9364,75286.
70.965,74980.
70.9936,76038.
71.0222,75729.
71.0508,79457.
71.0793,83167.
71.1079,84165.
71.1365,85155.
71.1651,86132.
71.1937,87113.
71.2223,89381.
71.2509,90331.
71.2795,95184.
71.3081,94801.
71.3367,95708.
71.3653,96613.
71.3939,98794.
71.4224,99668.
71.451,105631.
71.4796,109012.
71.5082,108572.
71.5368,109388.
71.5654,110207.
71.594,112259.
71.6226,119258.
71.6512,122489.
71.6798,123236.
71.7084,125188.
71.737,125911.
71.7655,127840.
71.7941,130969.
71.8227,134055.
71.8513,139542.
71.8799,140179.
71.9085,140809.
71.9371,142619.
71.9657,143233.
71.9943,146196.
72.0229,154999.
72.0515,156728.
72.0801,158429.
72.1086,161275.
72.1372,161780.
72.1658,165745.
72.1944,170808.
72.223,175839.
72.2516,175141.
72.2802,177843.
72.3088,180507.
72.3374,185410.
72.366,188028.
72.3946,193972.
72.4232,197630.
72.4518,197959.
72.4803,199365.
72.5089,202959.
72.5375,204338.
72.5661,211148.
72.5947,221143.
72.6233,223495.
72.6519,224768.
72.6805,227077.
72.7091,229378.
72.7377,235905.
72.7663,240270.
72.7949,246678.
72.8234,247805.
72.852,249963.
72.8806,254179.
72.9092,258351.
72.9378,261474.
72.9664,269696.
72.995,272728.
73.0236,274711.
73.0522,277705.
73.0808,282666.
73.1094,286597.
73.138,295524.
73.1665,305366.
73.1951,305151.
73.2237,308913.
73.2523,311659.
73.2809,316314.
73.3095,323915.
73.3381,331433.
73.3667,336943.
73.3953,339479.
73.4239,342989.
73.4525,347397.
73.4811,353690.
73.5096,360893.
73.5382,368992.
73.5668,373203.
73.5954,375514.
73.624,379680.
73.6526,383801.
73.6812,390671.
73.7098,403087.
73.7384,411672.
73.767,413728.
73.7956,418533.
73.8242,422379.
73.8528,428917.
73.8813,438103.
73.9099,448157.
73.9385,450877.
73.9671,456282.
73.9957,461626.
74.0243,468727.
74.0529,477501.
74.0815,487114.
74.1101,494879.
74.1387,498184.
74.1673,503198.
74.1959,509053.
74.2244,513123.
