X,ch2o,ch2,ch2oh,parent,ch3,hco
0,0,0,0,1,0,0
0.22581,0,0,0,1,0,0
0.45161,0,0,0,1,0,0
0.67742,0,0,0,1,0,0
0.90323,0,0,0,1,0,0
1.12903,0,0,0.9996,0.0004,0,0
1.35484,0,0,0.99984,0.00016,0,0
1.58065,0,0,0.99986,0.00014,0,0
1.80645,0.08,0,0.91986,0.00014,0,0
2.03226,0.152,0,0.848,0,0,0
2.25806,0.234,0,0.76592,0.00008,0,0
2.48387,0.30796,0,0.692,0.00004,0,0
2.70968,0.342,0,0.658,0,0,0
2.93548,0.35115,0,0.62289,0,0,0.02596
3.16129,0.29592,0,0.48244,0,0,0.22164
3.3871,0.22012,0,0.3434,0,0,0.43648
3.6129,0.1554,0,0.25343,0,0,0.59117
3.83871,0.12908,0,0.19632,0,0,0.6746
4.06452,0.07647,0,0.14559,0,0,0.77794
4.29032,0.06047,0,0.12568,0,0,0.81384
4.51613,0.05346,0.00201,0.09219,0,0.00201,0.85033
4.74194,0.04497,0.00399,0.06993,0,0.00201,0.8791
4.96774,0.03086,0.00799,0.06589,0,0.00399,0.89127
5.19355,0.01545,0.00801,0.11061,0,0.00999,0.85594
5.41935,0.01232,0.012,0.07158,0,0.006,0.8981
5.64516,0.00915,0.01401,0.04618,0,0.01,0.92066
5.87097,0.03564,0.012,0.01014,0,0.012,0.93022
6.09677,0.04248,0.01401,0.00813,0,0.02001,0.91537
6.32258,0.04562,0.02,0.00195,0,0.01199,0.92045
6.54839,0.15053,0.01999,0.00233,0,0.022,0.80515
6.77419,0.27162,0.03999,0.00114,0,0.00801,0.67723
7,0.35456,0.03601,0.00108,0,0.01799,0.58836
